Time,Author,Headline,Target
2019/10/15 1:06,The_Egyption_King,Bitcoin Scalping Opportunity!,XBTUSD
2019/10/15 17:26,JohnScam,BTC BEARISH PREPARE,XBTUSD
2019/10/16 15:59,chorny.capital,Bitcoin Cash (BCHUSD) short.,BCHUSDT
2019/10/22 13:21,TehranCrypto,Bitcoin: Diving,BTCUSD
2019/10/23 20:49,Renkotrade,Bitcoin BTCUSD SHOORT Broken all supports,BTCUSD
2019/10/23 23:56,KQMarkets,Bitcoin - Short - Range Broken - Downward Momentum,BTCUSD
2019/10/25 19:36,dimonle,Bitcoin local view,BTCUSD
2019/11/8 15:52,Legendaryfx_,SHORT BITCOIN,BTCUSD
2019/11/9 12:05,CRYPTO_DON_JUAN,daily btc bearish,BTCUSD
2019/11/10 2:16,heartstonned,BTC-Continuation of a bear market?,BTCUSD
2019/11/12 5:43,Prem_Agrawal,Short BTC/USD,BTCUSD
2019/11/19 20:03,KQMarkets,Bitcoin - Short - Key Support Level Broken,BTCUSD
2019/11/22 21:20,KQMarkets,Bitcoin - Short - Further Downside,BTCUSD
2019/11/22 21:39,andrewthesage,BTC bearish until 6022.44 entry,BTCUSD
2019/11/23 2:37,GER-Quality-Trades,"SICK ""GAINZ"" vs. FOMO",XBTUSD
2019/11/24 5:34,andrewthesage,BTC update Bear flag,BTCUSD
2019/11/25 2:32,UnknownUnicorn4649511,6 Key Levels to Watch Out-Bottom for Bitcoin may not be so Close,XBTUSD
2019/11/25 10:14,diversionlulu,"short Bitcoin CASH, psychological $200 will be dumped soon",BCHUSD
2019/11/26 0:17,btctobtc,Am I wrong to still be shorting BTC?,BTCUSDT
2019/11/27 1:22,TraderPro49,Short the Ponzi Sub 7k,XBTUSD
2019/12/10 18:31,emerytrader,Emery Trader - Short Bitcoin - 10/12/2019,BTCUSDT
2019/12/10 22:17,abfish,Doom is the new moon,XBTUSD
2019/12/11 4:44,YoungShkreli,"Short again, risk lowered",BTCUSD
2019/12/15 21:05,pbb,BTC is going to test the support trend line @ $6200,BTCUSD
2019/12/16 16:02,Stargazer_fx,"Bitcoin: Below Support level & broke out of Triangle,Short Setup",BTCUSD
2019/12/20 17:49,kewigram,BTCUSDT going to test again 8880$ support zone,BTCUSDT
2019/12/24 9:29,MegalodonTrading,SHORT - BITCOIN - MARKET IS SMILING AT YOU,BTCUSD
2019/12/29 17:27,binishaqabdulla,Short Bitcoin,BTCUSD
2019/12/29 22:35,TradingV2,Where to #Short #Bitcoin?,XBTUSD
2020/1/8 10:01,RandyMcMillan,$BTC.X Possible Short Targets?,BTCUSD
2020/1/9 22:51,cldx,Bitcoin Going Down,BTCUSD
2020/1/10 14:31,chorny.capital,Bitcoin Cash (BCHUSDT) short.,BCHUSDT
2020/1/11 19:57,AbduelMohammedJlsel,BTCUSD SHORT-TERM SHORT,BTCUSD
2020/1/12 11:58,Hektor_CryptoMafia,Les Leverage funds short depuis 2 ans et vous?,BTCUSD
2020/1/13 6:29,gran1t,Simple and clean 4h chart,XBTUSD
2020/1/15 10:56,saivnvn,All-in Short Bitcoin,BTCUSD
2020/1/25 5:21,rpatrickkennedy,Bitcoin Short Term $BTC. Rejected at .5 fib level.,BTCUSDT
2020/1/27 21:19,astropark,SHORT BITCOIN (+2% | +1R),BTCUSDT
2020/1/28 5:54,Lucron,Am I crazy enough to short bitcoin?,XBTUSD
2020/1/31 1:27,RedDalb_5,BTC to hit 10.5k in 2 weeks,BTCUSD
2020/2/5 1:08,Devil_Worship,LOCAL SHORT IN AN UPWARD CHANNEL,BTCUSD
2020/2/6 8:09,StevenRodas,BTC Bulls & Bears Be Careful,BTCUSD
2020/2/6 12:29,DkSwag,Let's Short Bitcoin From Heavy Weekly Resistance,XBTUSD
2020/2/7 2:08,Captain_Falcon,Chance to short Bitcoin one last time before the halving,BTCUSDT
2020/2/7 7:14,XRPZACH,FINALLY TIME TO SHORT BITCOIN,BTCUSD
2020/2/8 3:30,tommyf1001,BTCUSD Short - Rising Wedge,BTCUSD
2020/2/8 8:14,MingoLegend,Hedge Short Bitcoin,XBTUSD
2020/2/29 23:25,TradingandNews,Short Bitcoin today! Here's why!,BTCUSD
2020/3/1 7:06,TradingandNews,SHORT BITCOIN NOW 15x LEVERAGE,BTCUSDSHORTS
2020/3/1 12:27,FaTeH92,Coming Zood!!!,BTCUSD
2020/3/3 2:08,Paraman666,BTC feat. BTC dominance - huge crash to 7600 around the corner,BTC.D
2020/3/3 22:19,CryptoAman,RACEACEACE Bear Power Short #Bitcoin,XBTUSD
2020/3/8 13:30,x01zss,bitcoin short,BTCUSDT
2020/3/21 11:09,albx,Bitcoin bearish scenario,XBTUSD
2020/3/21 14:09,DR.,Short Bitcoin Again,BTCUSD
2020/3/22 17:11,PrimedGroup,Shorting Bitcoin Again!,BTCUSD
2020/3/23 9:17,UnknownUnicorn576186,BTC - Target 1: 5400,BTCUSDT
2020/3/24 5:24,RandyMcMillan,$BTC.X Short #Bitcoin,BTCUSD
2020/3/24 17:38,TraderPro49,Probably bearish divergence 4H,XBTUSD
2020/3/26 2:30,chorny.capital,Bitcoin Cash (BCHUSDT) short.,BCHUSDT
2020/3/26 22:17,farzinsabbagh,Double Top and bear flag,BTCUSDT
2020/3/28 7:38,G-Cryptotargets,bitcoin targets SHORT !,XBTUSD
2020/3/29 23:07,Prognosis_genesis,btc longterm analysis weekly with Ichimoku,BTCUSD
2020/4/8 4:03,ChartCinema,BITCOIN 馃槩 Wyckoff Distribution 馃憞馃憞馃憞,BTCUSD
2020/4/8 7:36,johninvesting9,Short Term Trade Idea - Short Bitcoin $BTC,BTCUSD
2020/4/9 8:24,arsen-t29,Bitcoin Trend Analysis,BTCUSD
2020/4/9 15:53,NeonMonkey,Bitcoin Price Double Bottom,XBTUSD
2020/4/10 13:34,HEXABYTEX,BTC DUMP,BTCUSD
2020/4/11 9:59,YoungShkreli,Went short bitcoin.,XBTUSD
2020/4/12 5:36,TheTravel1ngTrader,Easiest Bitcoin short you'll see today - Crazy fractal pattern,XBTUSD
2020/4/12 12:15,Jeffery-Callis,"I was wrong. 4,000 incoming for Bitcoin",BTCUSD
2020/4/13 1:53,ecirino,Beautiful!,BTCUSD
2020/4/15 18:23,Wositooo,SHORT BITCOIN,XBTUSD
2020/4/16 2:39,TBTS,All my scripts say short bitcoin,BTCUSD
2020/4/16 4:15,fxefx,Bitcoin repeats? Short Bitcoin,BTCUSD
2020/4/18 19:04,Crypto_MD,BTCUSD Short opportunity,BTCUSD
2020/4/19 1:08,CryptosPicasso,SHORT Bitcoin dump to confirm new highlow?,BTCUSD
2020/4/21 9:42,yousif798,SHORT BITCOIN,BTCUSDT
2020/4/22 0:39,CatalystsFinance,BTCUSDT 4H | Bitcoin price overview: Downtrend,BTCUSDT
2020/4/23 21:31,MachineLearningBot,BTC SHORT,BTCUSD
2020/4/24 14:31,Joy_Bangla,Short #bitcoin for $6950 with stop loss at $7560,BTCUSD
2020/4/25 4:16,polock,Bitcoin bearish daily ABCD pattern,BTCUSD
2020/4/28 1:00,BWCPT,Daily analysis XBT/USD 011,XBTUSD
2020/4/28 13:29,S_Kos,BTC/USD - It's dangerous to short. ( BITCOIN ),BTCUSD
2020/4/30 9:53,XWAY,Bitcoin Near Short Zones with significant decrease in Volume,BTCUSD
2020/4/30 17:03,Wositooo,SHORT BITCOIN !,BTCUSD
2020/4/30 23:25,s_trade,"Short BTC now, great chance to correction before pump",XBTUSD
2020/5/1 11:46,JacobTrader100,"BTC. Will BTC actually go down? No, maybe?",BTCUSD
2020/5/2 4:41,Coinathlon,BTC descending triangle,BTCUSD
2020/5/4 7:59,cryptoject,Weekly lower high confirmed. Bitcoin to $1950.,BTCUSDT
2020/5/4 21:24,DariusFxTrading,"Big Drop on Bitcoin (Banks, Financial Institution, ..) - weekly",XBTUSD
2020/5/4 23:56,JinFlark,"BTCUSDT, short continue! Target 8551, 8339.",BTCUSDT
2020/5/5 7:40,TheBrokeTrader,Short BITCOIN,BTCUSD
2020/5/6 13:01,elghoul,Short BITCOIN BTC/USD analysis patterns and averages,BTCUSDT
2020/5/6 14:59,JinFlark,"BTCUSDT, bears on the market. Actual microview of situation.",BTCUSDT
2020/5/7 12:29,Gentas_VIP,Bitcoin RETEST 7700$,XBTUSD
2020/5/7 15:08,mariobros7,Why isn't anyone talking about this? Short Bitcoin,BTCUSD
2020/5/7 19:48,AlexKolye,Short bitcoin till 8100,BTCUSD
2020/5/10 22:04,Mehdi_agh,Short bitcoin for 6600,BTCUSD
2020/5/11 1:54,dramadon,Short Bitcoin Using Price Action,BTCUSD
2020/5/11 16:10,s_trade,"Chance to short bitcoin now, sell $btc !",XBTUSD
2020/5/13 5:33,teh_salesman,the skid steer dump to 7338 - HBS,BTCUSD
2020/5/13 10:04,aluotradingjournal,"[BTCUSD] May 13, 2020 - ALuoTradingJournal",BTCUSD
2020/5/14 4:50,Sami_Derti,BITCOIN - BTCUSD - H4 - Potential SHORT After the Halving -,BTCUSD
2020/5/14 8:38,rustygeeart,Short term scalp short,BTCUSD
2020/5/14 9:24,hurluberlu,BTC to $7k,BTCUSD
2020/5/15 10:58,Moshkelgosha,Is it the right time to Short Bitcoin?,BTCUSD
2020/5/17 21:05,mrkstocks,SHORT - BITCOIN - Weekly Swing Trade,BTCUSD
2020/5/17 23:13,hello_hello,Just ducking short Bitcoin,BTCUSDT
2020/5/22 23:07,TheAlphaTrades,Learn How to Win at Trading Bitcoin! Why we shorted at $10k,XBTUSD
2020/5/27 6:35,memodj,formacion de HCH da continuacion a la ruptura del canal alcista,BTCUSDT
2020/5/27 16:10,king_hossein,btcusdt____,BTCUSDT
2020/5/29 11:30,bulfoxcapital,SHORT BITCOIN,BTCUSD
2020/5/29 21:24,mr_coinvestor,Bitcoin Diamond....but not that shitty coin,BTCEUR
2020/6/4 16:52,CRFXTrading,BITCOIN down to 8200,BTCUSDT
2020/6/5 17:42,gran1t,Btc short,XBTUSD
2020/6/7 6:41,harisonhbn9718,Short postion for long time of Bitcoin,BTCUSD
2020/6/26 9:02,chadmex,system trade attempt 6,XBTUSD
2020/6/26 15:04,D7R,Short Bitcoin (Weekly Trend),XBTUSD
2020/6/26 15:22,D7R,Short Bitcoin (Weekly),XBTUSD
2020/6/29 5:08,wdavis621,WARNING SIGNS!! 2 Key Pieces of Weekly Divergence,BTCUSD
2020/6/30 10:42,Gunslinger2005,I bring a big warning of potential doom,BTCUSD
2020/7/2 3:41,ihabcrypto,short bitcoin,BTCUSD
2020/7/27 13:11,ayounglam,SHORT BITCOIN,BTC1!
2020/7/27 13:12,ayounglam,GAP BITCOIN FOR SHORT BITCOIN,BTC1!
2020/7/27 13:14,ayounglam,SHORT BITCOIN,BTC1!
2020/7/27 16:54,CrorepatiTraders,Short Bitcoin Target - 9850,BTCUSD
2020/7/28 3:31,BTCeer,*BEWARE* WYCKOFF DISTRIBUTION IN FULL EFFECT,XBT
2020/7/28 16:17,Admax7,BTC Short from 11K,BTCUSDT
2020/8/22 4:32,Kiazer_Soza,$BTC Short,BTCUSDT
2020/8/25 2:17,Elvii,Short bitcoin using 8H bear twist,BTCUSD
2020/8/26 22:46,EnlightenedTrading,"BITCOIN BEARISH - 10,500 coming??",XBTUSD
2020/8/28 6:41,Kiazer_Soza,$XBT $BTC Bitcoin Short,XBTUSD
2020/9/2 6:24,hesamh,are you ready for SHORT position?,BTCUSDT
2020/9/2 21:56,Hamed_Ahmadi,Bitcoin------>H&S,BTCUSD
2020/9/3 17:16,techhelpinhindi,BITCOIN SHORT SIGNAL,BTCUSDT
2020/9/17 3:58,TBTS,bullish invert for bitcoin,BTCUSD
2020/9/18 0:29,APOLYMATHMAN,Bitcoin to follow GOLD and Major markets!,BTCUSD
2020/9/18 8:36,SALAH-LH,BITCOIN DOWN !,BTCUSDT
2020/9/19 16:57,electo,Really Simple Idea on BTC Direction - Right now its Take Profits,BTCUSD
2020/9/20 10:11,Yurlo,Short scalp idea ~ ($10550 should be visited soon) BEARISH BIAS,BTCUSD
2020/9/25 22:45,daytraderstrategy,S/R Flip | Bitcoin Intraday Short | Targets 9959,BTCUSD
2020/9/26 12:52,TableLamp,A Possible BEARISH SHARK Pattern in BITCOIN,BTCUSDT
2020/9/28 4:53,gran1t,SHORT BITCOIN,XBTUSD
2020/10/1 18:23,Gunslinger2005,BTC 3 reversal areas and targets. daily weekly monthly camarilla,BTCUSDTPERP
2020/10/3 17:55,Yurlo,TRUMP HAS COVID ~ KUCOIN HACK ~ BITMEX NEWS (dump),BTCUSD
2020/10/5 2:17,Dougy_Buller,#Bitcoin our king heads to the 9k range,BTCUSD
2020/10/9 23:18,Gunslinger2005,btc short swing,BTCUSDTPERP
2020/10/11 8:27,eddyfursy,BTCUSD Short,BTCUSD
2020/10/23 23:32,BruhsterMK6,Neutral/Short Bitcoin? Week crash?,BTCUSD
2020/10/28 13:50,VikasSharma,SHORT BITCOIN,BTCUSD
2020/10/29 15:48,Aadil1000x,BTCUSD SELL,BTCUSD
2020/10/31 7:55,JuniorLegend4,btcusd,BTCUSD
2020/11/1 6:42,MorelloFx,BITCOIN! | DONT BUY EXPENSIVE! Long Term Analysis.,BTCUSD
2020/11/5 4:44,JRuiz000,"BTCUSD Not ready for Breakout!! Short $14,000usd",BTCUSD
2020/11/6 7:10,torquio,Bitcoin: Let someone else be the bagholder,XBT
2020/11/11 15:54,DoNotSpillMyJuice,SHORT | DROP SOON,BTCUSD
2020/11/12 2:35,BitcoinAffection,SHORT BITCOIN FOR NOW!,BTCUSD
2020/11/13 22:09,ghengiskahnspermshot,Short Bitcoin Dominance - Altseason for a couple months?!!!!!,BTC.D
2020/11/14 16:09,SupremeTrader88,SHORT BITCOIN/USDT,BTCUSDT
2020/11/19 18:22,Hetgus,I Shorted bitcoin. What麓s the next price target?,BTCUSD
2020/11/19 23:32,stannieb,Bearish move incoming?,BTCUSD
2020/11/20 8:15,BitcoinAffection,SWING TRADING - SHORT,BTCUSD
2020/11/20 9:38,kindaibtc,Bitcoin top is near! Get ready to short!,XBTUSD
2020/11/24 8:54,viparmenia,bitcoin dominance shrinking - altseason is on the way market cap,BTC.D
2020/11/25 13:10,Faibik,Bitcoin | Rising Wedge Formation..!!,BTCUSDT
2020/11/29 14:12,BDKites,Short Bitcoin,BTCUSD
2020/12/2 8:03,awesome15,Short bitcoin,BTCUSD
2020/12/2 21:19,PipCatcherAcademy,SHORT BITCOIN SCALP,BTCUSD
2020/12/8 5:55,Satosher,Bitcoin Short,BTCUSD
2020/12/13 0:03,PassiCoin,Bitcoin sell signals. Should be a easy short.,BTCUSD
2020/12/13 5:08,harisonhbn9718,Overview: Perspective for bearish scenario!!!,BTCUSD
2020/12/14 12:36,dramadon,BTCUSD Short Bitcoin,BTCUSD
2020/12/28 20:06,livegreat,Is BITCOIN still able to climb above $30k this month???,BTCUSD
2020/12/29 3:27,JinFlark,"BTCUSDT, bulls are exhausted. Short to 25400.",BTCUSDT
2020/12/29 4:27,Abu-Sushi,Bitcoin short idea if our pattern unfold and conditions,BTCUSD
2020/12/29 11:11,torquio,BITCOIN: Short targeting 24795,BTCUSD
2021/1/2 6:34,krabbiebaddies,BTC/USDT,BTCUSDT
2021/1/2 9:56,PriceActionPmlani,BTCUSD - RSI - Big Correction,BTCUSD
2021/1/9 18:12,SMART_MONEY_MARK,Bitcoin Correction - BTC/USD prediction,BTCUSD
2021/1/10 21:15,UnknownUnicorn13204076,AGAIN open Short from 39950 (3rd position in short) BTC/USDT,BTCUSDT
2021/1/11 1:24,Artificialintelligence2020,AFTERNOON UPDATE!!!!!!!  馃└馃└馃└ Bitcoin is bleeding SELL,BTCUSD
2021/1/11 2:01,EarthHoundFx,SHORT BITCOIN NOW BANKS WILL COLLECT LIQUIDITY DOWNSIDE!!,BTCUSD
2021/1/11 3:01,Artificialintelligence2020,馃挜Crash of 2021 We will see at least 30% or more in correction,BTCUSD
2021/1/11 8:22,harisonhbn9718,"Update: Bitcoin it's goes toward the $35,000 USD before to up!!!",BTCUSD
2021/1/11 22:21,BobRivera990,my possible targets,BTCUSD
2021/1/12 1:54,ali05bax,Btc dosent have a good look in 4H!,BTCUSDT
2021/1/12 3:14,BradySWilliams,Well Is That What I Think I See!?,BTCUSD
2021/1/12 9:16,balloYarn,BTC USDT INVERSE Head and Shoulders,BTCUSDT
2021/1/12 17:53,Meisam_TA,#btcusdt #1h,BTCUSDT
2021/1/24 5:25,harisonhbn9718,Bitcoin could to form a bearish channel; but bullish to hold!!!,BTCUSD
2021/1/24 12:07,tricor2000,Another 15% Drop Coming SOON!!!,BTCUSD
2021/1/24 20:27,VincentBoudewijn,Low Risk Short Trade idea on Bitcoin,BTCUSD
2021/1/25 0:13,BobRivera990,Bearish wave: one after another,BTCUSD
2021/1/25 23:08,YurloTrades,Falling wedge 8 wave elliot wave theory scenario (BTC),BTCUSD
2021/1/27 5:28,emrelg,Short Bitcoin !,XBTUSD
2021/1/29 1:19,YurloTrades,Possible head & shoulders forming (bearish short term) BTC,BTCUSD
2021/1/29 17:53,NeoButane,Short bitcoin - DOGE mania related,BTCUSDTPERP
2021/2/11 0:43,RichTradingMind,Key Levels on bitcoin:-,BTCUSD
2021/2/14 3:04,Bonavest,Pullback from $50k - Bearish Ascending Wedge,BTCUSD
2021/2/14 8:26,Gunslinger2005,btc short swing for weekly pivot,BTCUSDTPERP
2021/2/14 19:12,lwfr,LONG/SHORT BITCOIN,BTCUSD
2021/2/15 20:42,AntonioFucek,Correction on the way,BTCUSD
2021/2/16 5:39,YurloTrades,"8 wave (elliot wave theory) complete downtrend (BTC) $44,444",BTCUSD
2021/2/16 17:39,DeGRAM,BITCOIN will fall to support,BTCUSD
2021/2/16 18:41,TableLamp,IS A BITCOIN SELLER MYSTERY SELLER SITS AT AT 50K STREET?,BTCUSDT
2021/2/17 1:10,Invincible-Chive,Short Bitcoin (short-term),BTCUSD
2021/2/17 8:19,TheChasm,Rising Wedge - Bearish Pattern,BTCUSD
2021/2/23 17:17,BullmarketFX,BITCOIN - time for a market correction!,BTCUSD
2021/2/23 22:40,alphizo,Bitcoin Trade Alert,BTCUSDT
2021/2/25 7:40,dipl_ing,Bitcoin Bear run 2021 Top is in,BTCUSDT
2021/2/26 4:48,harisonhbn9718,OH MY GOD!!! Bitoin going to crash!!! We're going to down!!!,BTCUSD
2021/2/28 6:38,k3mor3_4x,SHORT BITCOIN,BTCUSD
2021/3/6 14:59,yousefse7en,Sell BTC/USDT,BTCUSDT
2021/3/8 8:00,Ftsvahid,Short bitcoin dominance,BTC.D
2021/3/8 18:12,Realisto_FX,Short Bitcoin,BTCUSD
2021/3/9 21:43,mjokar111,bitcoin sell of,BTCUSD
2021/3/10 0:20,Mazerozeox,Bearish Gartley pattern BTCUSD (4H),BTCUSD
2021/3/11 0:47,Amr_m,Pending:  sell-limit at 58400,BTCUSD
2021/3/11 1:03,TeddyBands,Its a no,BTCUSD
2021/3/11 1:39,TheSugeKnight,Double Top Forming,BTCUSDT
2021/3/12 22:41,CatalystsFinance,BTCUSDT 4H | Bitcoin market overview: Double top,BTCUSDT
2021/3/15 16:51,VaidoVeek,"BITCOIN | Balls Of Steel, Let's Short It!",BTCUSD
2021/4/7 22:08,Putrid_Shittgenstein,My Suicidal Bitcoin Short Trade,BTCUSDT
2021/4/8 16:53,Mrbuyandsell,Cold Blooded Revenge 猡碉笍 鈽狅笍,XBTUSD
2021/4/8 19:51,WyckOffBoy,"SHORT Bitcoin Target $54,000",BTCUSD
2021/4/11 7:32,watchtrend,flag increase trend will into bitcoin crash The whale games!,BTCUSDT
2021/4/16 8:45,Andruzz,BTCUSD analysis,BTCUSD
2021/4/18 7:37,Alevvv1000,Bitcoin Short Idea,BTCUSD
2021/4/19 5:38,ChartW1zard,Sell Opportunities,BTCUSD
2021/4/20 0:20,kombomaster,SHORT BITCOIN,BTCUSDT
2021/4/27 22:09,Bullgod7,Short btc,BTCPERP
2021/5/2 7:18,SuddenFX,"Wyckoff ""Return To Normal"" Bull Trap in effect on Bitcoin",BTCUSD
2021/5/3 5:39,dRends35,Shorting Bitcoin into first capitulation from Fibonacci targets,BTCUSD
2021/5/4 17:38,Gomazlegenda90,Its just an idea :),BTCEUR
2021/5/4 21:44,ChiragRathod,Bitcoin looking weak | Short Bitcoin,BTCUSDT
2021/5/5 0:40,Macro_polo,Short Bitcoin,BTCUSD
2021/5/10 3:23,trader_persian90,short bitcoin 1H,BTCUSDT
2021/5/18 0:17,nehey,More dips before buying,BTCUSD
2021/5/19 14:36,Yousif_Mhmd,BTC is in Key area 39k - more likely bearish,BTCUSD
2021/5/19 21:32,EddieJag,Bitcoin price prediction,BTCUSD
2021/5/20 0:13,AlexHorn,Short 鈧?Bitcoin BTC/EUR,BTCEUR
2021/5/20 1:59,Moshkelgosha,Bitcoin Crossed Below 200 EMA,XBT
2021/5/20 19:04,hungvtm,Short Bitcoin BTC,BTCUSD
2021/5/24 9:35,YurloTrades,"Parabolic Market Structure BROKEN ($20,000 HAS to hold) BTC",BTCUSD
2021/5/24 18:52,scuze22,short bitcoin at 36400 or 37 800,BTCUSDT
2021/5/25 20:05,SALAH-LH,#BITCOIN Negative scenario we may see !,BTCUSDT
2021/5/27 1:12,Kav1ka,Bitcoin Heading Lower,BTCUSD
2021/5/27 5:23,SuddenFX,Bitcoin Short (Updated Chart),BTCUSD
2021/5/28 1:17,ClearOpenDoor,The scariest bitcoin fractal you will see today,BTCUSDT
2021/5/28 8:37,emilyvn531,Short Bitcoin at Price below $39500,BTCUSD
2021/5/29 6:57,GaiusPomperus,Bitcoin Bearish Breakout Trade $20k?!?!,BTCUSD
2021/5/29 10:50,AkmeAnalytics,Bitcoin Trade Setup - Swing Trading Shorting Opportunity,XBT
2021/6/1 19:30,trader_ozyw,BTC trend broken - Short (Update),BTCUSDT
2021/6/1 23:24,UnitedSignals,BTCUSD: Short Signal Explained,BTCUSD
2021/6/2 14:39,OnlineFintech,bitcoin,BTCUSD
2021/6/5 3:27,trader_ozyw,Keep BTC short,BTCUSDT
2021/6/6 22:14,alvesnijario,Bitcoin to 24k,BTCUSDT
2021/6/7 2:35,YurloTrades,FAILED BREAKOUT WITH STRONG REJECTION (BTC) BEARISH PROBABILTIY,BTCUSD
2021/6/8 14:05,Viorex,BTC,BTCUSD
2021/6/9 8:57,SnyperZ,"BTC you SHORT beast, sub 23,000k incoming.",BTCUSDT
2021/6/9 16:54,ZudOkakite,BTCUSD SHORT POSITION,BTCUSD
2021/6/9 23:19,ir0nhand,Short Bitcoin here,BTCUSDT
2021/6/10 8:26,Moshkelgosha,Difference Between Views..! Acceptance matters..!,XBT
2021/6/10 9:09,aqayesalehi,"Bitcoin Droping , be careful",BTCUSDT
2021/6/10 18:06,theLeo_Crypto,"#SHORT Bitcoin, TA",BTCUSD
2021/6/11 0:19,TopTradingSignals,BITCOIN Will Fall! Sell!,BTCUSD
2021/6/16 21:03,theLeo_Crypto,"#SHORT Bitcoin, TA",BTCUSDT
2021/6/16 22:01,Magic-Charts,Can BTC make it down to 38.5k in the next few hours?,BTCUSDTPERP
2021/6/20 18:12,reject6,Bitcoin is STILL down trending,BTCUSDT
2021/6/21 17:27,Kruduang,'NEXT SHORT' #BITCOIN,BTCUSD
2021/6/22 5:37,amir_666,SHORT BITCOIN TO 20k,BTCUSDT
2021/6/22 16:13,TehranCrypto,"Bitcoin: $19,524",BTCUSD
2021/6/22 22:07,blackwolfmm,BTC 24900 ? Short,BTCUSDT
2021/6/23 7:45,AMY_Ev89,bitcoin SHORT!,BTCUSDT
2021/6/23 16:46,Garcia0191,SHORT BITCOIN,BTCUSDT
2021/6/27 0:55,StefanoViacava,BTC/USDT: SHORT to the CORE,BTCUSDT
2021/6/28 1:38,YurloTrades,POSSIBLE HEAD AND SHOULDERS (BTC) BEARISH PROBABILITIES,BTCUSD
2021/6/28 2:56,Corona-do,Bitcoin looking ugly.,BTCUSDT
2021/6/28 20:10,ir0nhand,Short Bitcoin again!,BTCUSDT
2021/7/2 3:59,AMY_Ev89,Bitcoin Short!,BTCUSDT
2021/7/2 11:31,JohnYoon,Short Bitcoin $BTCUSD,BTCUSD
2021/7/2 13:59,a_mohsen_l,short bitcoin long time,BTCUSDT
2021/7/3 7:34,tradecave,BTCUSD Potential Final Sell Off,BTCUSD
2021/7/4 3:39,v4runs,$BTCUSD - Short term target 41K; Still trending down,BTCUSD
2021/7/6 7:28,Oppa_Crypto_69,Short Bitcoin,BTCUSDTPERP
2021/7/8 8:10,YurloTrades,4 HOUR CLOSED BELOW THE UPTREND (bearish confirmation) BTC,BTCUSD
2021/7/10 17:05,theLeo_Crypto,"#SHORT Bitcoin, TA",BTCUSDT
2021/7/20 4:54,harisonhbn9718,BTC/USD: My next trade to short Bitcoin,BTCUSD
2021/7/20 6:25,staticliquid,short bitcoin,BTCUSD
2021/7/20 23:00,theLeo_Crypto,"#SHORT Bitcoin,15m TF",BTCUSDT
2021/7/22 18:08,theLeo_Crypto,"#SHORT Bitcoin, TA",BTCUSDT
2021/7/23 14:18,PipEze,BTC 鈥?update 19/07/21,BTCUSD
2021/7/23 14:28,Ridethemacro,BITCOIN Another -10% Game of Fear,BTCUSDT
2021/7/23 18:45,Bahman_am,BTC at the Left Shoulder,BTCUSDT
2021/7/26 3:27,Fakher_Kabawe,Attention: BITCOIN / U.S. DOLLAR,BTCUSD
2021/7/26 19:49,CJS04,Bitcoin looks like a good short till say November,BTCUSD
2021/7/27 5:37,TopTradingSignals,BITCOIN Cover Longs At 42k! Sell!,BTCUSD
2021/7/27 23:53,Jahid,Bitcoin Sell setup,BTCUSD
2021/7/28 13:31,GerardWalker,"Best time to short bitcoin was yesterday, 2nd time NOW",BTCUSD
2021/7/28 23:05,DanyR1,Intraday Short on BTC,BTCUSD
2021/7/29 1:34,Mazerozeox,SHORT BTCUSD,BTCUSD
2021/7/30 1:45,ShadowBahamut02,Bitcoin Bearish Crab,BTCUSD
2021/7/30 19:30,SFX00001,BTC/USDT 30/07-31/07,BTCUSDT
